batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,11.843449,16.066978
0,mae,0,0.075,14.145611,13.467897
0,mae,0,0.1,14.375164,12.99499
0,mae,0,0.15,15.681206,10.798738
0,mse,0,0.05,12.74914,16.339928
0,mse,0,0.075,15.186776,11.956367
0,mse,0,0.1,15.042702,10.931372
0,mse,0,0.15,16.487415,7.725017
0,mae,1,0.05,11.764417,15.031284
0,mae,1,0.075,13.703597,14.048009
0,mae,1,0.1,14.046345,12.743699
0,mae,1,0.15,15.181787,10.975512
0,mse,1,0.05,12.65348,14.760897
0,mse,1,0.075,14.669989,12.892771
0,mse,1,0.1,15.050602,10.781349
0,mse,1,0.15,15.563112,8.143267
0,mae,2,0.05,12.256583,14.646749
0,mae,2,0.075,14.034397,13.271128
0,mae,2,0.1,14.198773,12.47032
0,mae,2,0.15,15.152088,10.845432
0,mse,2,0.05,13.111179,14.284067
0,mse,2,0.075,15.648663,11.965849
0,mse,2,0.1,15.146296,10.597809
0,mse,2,0.15,15.579613,8.168177
0,mae,3,0.05,13.186214,14.921817
0,mae,3,0.075,13.628618,14.203499
0,mae,3,0.1,13.648082,13.48195
0,mae,3,0.15,15.475368,10.810675
0,mse,3,0.05,14.261145,14.438253
0,mse,3,0.075,14.606495,13.19138
0,mse,3,0.1,14.264603,12.014074
0,mse,3,0.15,16.781212,7.876323
0,mae,4,0.05,12.88203,14.970404
0,mae,4,0.075,13.649183,14.419754
0,mae,4,0.1,13.991017,13.585371
0,mae,4,0.15,15.686498,11.196924
0,mse,4,0.05,13.906843,14.502602
0,mse,4,0.075,14.572778,13.389685
0,mse,4,0.1,14.623921,11.796556
0,mse,4,0.15,16.566071,8.288706
0,mae,5,0.05,13.111097,15.578424
0,mae,5,0.075,13.569742,13.949207
0,mae,5,0.1,13.902582,13.644258
0,mae,5,0.15,16.037136,10.286656
0,mse,5,0.05,14.190386,15.206125
0,mse,5,0.075,14.238289,12.666809
0,mse,5,0.1,14.45555,12.448343
0,mse,5,0.15,16.866764,7.556813
0,mae,6,0.05,12.919813,15.975588
0,mae,6,0.075,14.101025,14.585773
0,mae,6,0.1,13.780805,13.576537
0,mae,6,0.15,15.043327,11.545218
0,mse,6,0.05,14.033874,16.002655
0,mse,6,0.075,15.191527,14.026899
0,mse,6,0.1,13.992035,12.238688
0,mse,6,0.15,15.256197,8.948635
0,mae,7,0.05,12.6009,15.12627
0,mae,7,0.075,14.48864,13.571671
0,mae,7,0.1,14.13261,13.228392
0,mae,7,0.15,13.818551,11.029711
0,mse,7,0.05,13.335587,15.357029
0,mse,7,0.075,16.027239,12.459403
0,mse,7,0.1,15.316278,11.742655
0,mse,7,0.15,13.532156,8.395649
0,mae,8,0.05,12.048685,15.407884
0,mae,8,0.075,13.118812,14.805574
0,mae,8,0.1,14.31225,13.287219
0,mae,8,0.15,15.15954,11.261922
0,mse,8,0.05,12.89789,16.636436
0,mse,8,0.075,14.311301,15.567778
0,mse,8,0.1,15.735415,12.470499
0,mse,8,0.15,15.912639,8.863472
0,mae,9,0.05,12.51544,15.634486
0,mae,9,0.075,13.921761,14.722436
0,mae,9,0.1,13.759138,13.67149
0,mae,9,0.15,15.579348,11.610462
0,mse,9,0.05,13.32839,16.161554
0,mse,9,0.075,15.627306,14.700367
0,mse,9,0.1,15.019231,13.435756
0,mse,9,0.15,16.514416,9.954031
0,mae,10,0.05,12.466669,16.002712
0,mae,10,0.075,13.918262,14.197628
0,mae,10,0.1,14.000721,13.779724
0,mae,10,0.15,15.052056,12.61095
0,mse,10,0.05,13.307374,17.169779
0,mse,10,0.075,15.225164,14.15813
0,mse,10,0.1,15.164236,13.250635
0,mse,10,0.15,16.127575,10.945935
0,mae,11,0.05,12.955564,15.783001
0,mae,11,0.075,13.315642,14.918853
0,mae,11,0.1,13.635386,13.877111
0,mae,11,0.15,15.199339,12.041286
0,mse,11,0.05,13.466695,16.713419
0,mse,11,0.075,14.399429,14.719675
0,mse,11,0.1,14.650043,13.03627
0,mse,11,0.15,16.004679,9.932009
0,mae,12,0.05,12.681042,15.889315
0,mae,12,0.075,12.972486,14.568768
0,mae,12,0.1,13.946153,13.975056
0,mae,12,0.15,15.765579,12.155396
0,mse,12,0.05,13.237146,16.868744
0,mse,12,0.075,13.472311,14.279758
0,mse,12,0.1,14.825817,13.182575
0,mse,12,0.15,16.56819,9.915063
0,mae,13,0.05,12.949871,15.33156
0,mae,13,0.075,13.366911,13.577812
0,mae,13,0.1,14.051203,13.364047
0,mae,13,0.15,15.559878,11.914574
0,mse,13,0.05,13.593369,15.62242
0,mse,13,0.075,13.80477,12.096531
0,mse,13,0.1,14.512896,11.442649
0,mse,13,0.15,16.712168,8.943151
0,mae,14,0.05,12.467438,16.020485
0,mae,14,0.075,13.417418,13.901516
0,mae,14,0.1,13.483448,12.722897
0,mae,14,0.15,14.52277,11.751253
0,mse,14,0.05,13.249043,16.877462
0,mse,14,0.075,13.98848,12.286852
0,mse,14,0.1,13.567142,10.100042
0,mse,14,0.15,14.923993,8.848995
0,mae,15,0.05,11.906054,16.332529
0,mae,15,0.075,12.999334,15.397753
0,mae,15,0.1,13.54679,14.129336
0,mae,15,0.15,13.793037,13.237251
0,mse,15,0.05,11.939048,17.219238
0,mse,15,0.075,13.104284,14.576571
0,mse,15,0.1,13.575634,12.395323
0,mse,15,0.15,13.564198,11.309525
0,mae,16,0.05,11.98147,16.153559
0,mae,16,0.075,12.933466,14.357883
0,mae,16,0.1,13.565766,13.805605
0,mae,16,0.15,15.467875,12.538464
0,mse,16,0.05,12.008321,16.85067
0,mse,16,0.075,13.030658,12.529615
0,mse,16,0.1,13.932892,11.545673
0,mse,16,0.15,16.267967,10.175104
0,mae,17,0.05,11.8285,14.804495
0,mae,17,0.075,13.108272,13.816442
0,mae,17,0.1,14.110119,13.134723
0,mae,17,0.15,15.092953,12.377382
0,mse,17,0.05,11.648172,13.57394
0,mse,17,0.075,12.983654,11.627761
0,mse,17,0.1,14.439106,10.854095
0,mse,17,0.15,15.513257,10.003613
0,mae,18,0.05,11.702738,14.975562
0,mae,18,0.075,13.02814,13.494937
0,mae,18,0.1,14.002163,12.803558
0,mae,18,0.15,15.315378,12.067628
0,mse,18,0.05,11.463755,14.112183
0,mse,18,0.075,13.06759,11.341368
0,mse,18,0.1,14.501522,10.617149
0,mse,18,0.15,15.935652,9.388037
0,mae,19,0.05,12.457037,15.250139
0,mae,19,0.075,13.087199,13.827835
0,mae,19,0.1,14.045965,12.505795
0,mae,19,0.15,15.75654,11.968924
0,mse,19,0.05,12.400061,14.376875
0,mse,19,0.075,12.661686,11.673699
0,mse,19,0.1,14.198508,9.852547
0,mse,19,0.15,16.892979,9.333324
0,mae,20,0.05,12.957935,15.539648
0,mae,20,0.075,14.074029,13.527164
0,mae,20,0.1,14.653441,12.463143
0,mae,20,0.15,15.874996,11.436924
0,mse,20,0.05,13.147131,15.080766
0,mse,20,0.075,14.1174,11.233377
0,mse,20,0.1,15.079556,9.879335
0,mse,20,0.15,17.505093,8.663923
0,mae,21,0.05,13.637907,15.454862
0,mae,21,0.075,14.180728,13.785129
0,mae,21,0.1,14.664501,13.540424
0,mae,21,0.15,15.907977,11.047174
0,mse,21,0.05,14.062012,15.109089
0,mse,21,0.075,14.272432,11.600568
0,mse,21,0.1,15.446651,11.122475
0,mse,21,0.15,17.242693,7.804594
0,mae,22,0.05,13.274997,15.633893
0,mae,22,0.075,13.990158,14.312278
0,mae,22,0.1,14.363773,13.457306
0,mae,22,0.15,15.829208,11.026892
0,mse,22,0.05,13.483263,15.237766
0,mse,22,0.075,13.795359,12.615183
0,mse,22,0.1,14.816366,11.067614
0,mse,22,0.15,17.436876,7.719855
0,mae,23,0.05,13.415787,15.269223
0,mae,23,0.075,14.154627,13.623002
